domain,family,complexity,seed,n,c1,c2,mean,std,gen_s,error
fluid,curl_weave,0.000,1,512,1.941141,-0.016129,0.452013,0.252959,5.689365,
fluid,curl_weave,0.000,3,512,1.948746,-0.014516,0.493155,0.178597,5.932888,
fluid,curl_weave,0.000,2,512,1.999343,-0.004165,0.386438,0.187844,8.158882,
fluid,curl_weave,0.000,4,512,1.978720,-0.020203,0.598291,0.190868,6.636891,
cloud,billow,1.000,10,512,1.984871,-0.327964,0.500001,0.113707,36.362555,
fluid,curl_weave,0.000,6,512,1.946973,-0.027071,0.465261,0.192299,6.367505,
fluid,curl_weave,0.000,5,512,1.968896,-0.008919,0.580836,0.178220,6.551537,
cloud,billow,1.000,9,512,1.988598,-0.380080,0.499999,0.083229,38.549831,
cloud,billow,1.000,5,512,2.025765,-0.370464,0.500000,0.091607,57.032168,
fluid,curl_weave,0.000,10,512,1.948329,-0.008615,0.506360,0.210101,6.508207,
fluid,curl_weave,0.000,7,512,1.951064,-0.011396,0.526160,0.159866,8.929215,
fluid,curl_weave,0.000,11,512,1.959304,-0.010540,0.440165,0.189159,7.988333,
fluid,curl_weave,0.000,8,512,1.989818,-0.012305,0.457307,0.175392,10.265647,
cloud,billow,1.000,8,512,1.913696,-0.286366,0.499999,0.097178,51.851185,
fluid,curl_weave,0.000,9,512,1.952934,-0.029322,0.470581,0.203973,11.320770,
cloud,billow,1.000,11,512,1.902703,-0.360719,0.499999,0.104708,42.985604,
fluid,curl_weave,0.100,0,512,1.912453,-0.020967,0.512324,0.174104,15.744362,
fluid,curl_weave,0.100,1,512,1.945936,-0.033810,0.456851,0.249634,10.873048,
fluid,curl_weave,0.100,4,512,1.977164,-0.023291,0.597001,0.187307,8.669467,
fluid,curl_weave,0.100,5,512,1.973629,-0.026257,0.577932,0.178158,9.090015,
fluid,curl_weave,0.100,2,512,1.975718,-0.010384,0.381728,0.187259,12.322337,
fluid,curl_weave,0.100,7,512,1.930633,-0.029528,0.521629,0.158475,9.181863,
fluid,curl_weave,0.100,3,512,1.938800,-0.032008,0.497953,0.177051,15.784071,
fluid,curl_weave,0.100,11,512,1.957076,-0.027809,0.436262,0.188576,8.864837,
fluid,curl_weave,0.100,6,512,1.939210,-0.026661,0.471443,0.187938,16.624453,
fluid,curl_weave,0.100,8,512,1.960383,-0.019190,0.456553,0.173520,11.532334,
fluid,curl_weave,0.100,9,512,1.952486,-0.031168,0.469514,0.201369,13.293614,
fluid,curl_weave,0.100,10,512,1.922638,-0.030910,0.505761,0.208419,14.364958,
fluid,curl_weave,0.200,0,512,1.918464,-0.031611,0.520505,0.170415,14.910217,
fluid,curl_weave,0.200,1,512,1.961592,-0.027364,0.461024,0.245749,11.135334,
fluid,curl_weave,0.200,3,512,1.932259,-0.051573,0.494207,0.175045,11.275858,
fluid,curl_weave,0.200,2,512,1.969300,-0.018965,0.391886,0.181966,17.183729,
fluid,curl_weave,0.200,5,512,1.933484,-0.035957,0.574225,0.176864,15.425569,
fluid,curl_weave,0.200,4,512,1.959169,-0.032432,0.598406,0.184880,16.769797,
